Year,Ranking,Name,City,Country,Latitude,Longitude
2018,1,Osteria Francescana,Modena,Italy,44.6431,10.9341
2018,2,El Celler de Can Roca,Girona,Spain,41.9808,2.8187
2018,3,Mirazur,Menton,France,43.7747,7.5046
2018,4,Eleven Madison Park,New York,USA,40.7146,-74.0071
2018,5,Gaggan,Bangkok,Thailand,13.75,100.516
2018,6,Central,Lima,Peru,-12.043,-77.028
2018,7,Maido,Lima,Peru,-12.043,-77.028
2018,8,Arpège,Paris,France,48.8569,2.3412
2018,9,Mugaritz,San Sebastian,Spain,43.3174,-1.9784
2018,10,Asador Etxebarri,Axpe,Spain,43.13,-2.583611
2018,11,Quintonil,Mexico City,Mexico,19.4285,-99.1277
2018,12,Blue Hill at Stone Barns,Pocantico Hills,USA,41.094444,-73.835833
2018,13,Pujol,Mexico City,Mexico,19.4285,-99.1277
2018,14,Steirereck,Vienna,Austria,48.2025,16.3688
2018,15,White Rabbit,Moscow,Russia,55.752,37.615
2018,16,Piazza Duomo,Alba,Italy,44.6961,8.0341
2018,17,Den,Tokyo,Japan,35.6249,139.5856
2018,18,Disfrutar,Barcelona,Spain,41.3875,2.1684
2018,19,Geranium,Copenhagen,Denmark,55.675,12.565
2018,20,Attica,Melbourne,Australia,-37.814,144.963
2018,21,Alain Ducasse au Plaza Athénée,Paris,France,48.8569,2.3412
2018,22,Narisawa,Tokyo,Japan,35.6249,139.5856
2018,23,Le Calandre,Rubano,Italy,45.433333,11.783333
2018,24,Ultraviolet by Paul Pairet,Shanghai,China,31.222,121.458
2018,25,Cosme,New York,USA,40.7146,-74.0071
2018,26,Le Bernardin,New York,USA,40.7146,-74.0071
2018,27,Boragó,Santiago,Chile,-33.426,-70.566
2018,28,Odette,Singapore,Singapore,1.289,103.85
2018,29,Alléno Paris au Pavillon Ledoyen,Paris,France,48.8569,2.3412
2018,30,D.O.M.,São Paulo,Brazil,-23.547,-46.636
2018,31,Arzak,San Sebastian,Spain,43.3174,-1.9784
2018,32,Tickets,Barcelona,Spain,41.3875,2.1684
2018,33,The Clove Club,London,UK,51.5064,-0.1272
2018,34,Alinea,Chicago,USA,41.8843,-87.6324
2018,35,Maaemo,Oslo,Norway,59.912,10.746
2018,36,Reale,Castel di Sangro,Italy,41.783333,14.1
2018,37,Restaurant Tim Raue,Berlin,Germany,52.5161,13.377
2018,38,Lyle's,London,UK,51.5064,-0.1272
2018,39,Astrid y Gastón,Lima,Peru,-12.043,-77.028
2018,40,Septime,Paris,France,48.8569,2.3412
2018,41,Nihonryori RyuGin,Tokyo,Japan,35.6249,139.5856
2018,42,The Ledbury,London,UK,51.5064,-0.1272
2018,43,Azurmendi,Larrabetzu,Spain,43.261944,-2.794722
2018,44,Mikla,Istanbul,Turkey,41.013,28.949
2018,45,Dinner by Heston Blumenthal,London,UK,51.5064,-0.1272
2018,46,Saison,San Francisco,USA,37.7771,-122.4196
2018,47,Schloss Schauenstein,Fürstenau,Switzerland,46.716667,9.433333
2018,48,Hiša Franko,Kobarid,Slovenia,46.246436,13.578006
2018,49,Nahm,Bangkok,Thailand,13.75,100.516
2018,50,The Test Kitchen,Cape Town,South Africa,-33.916,18.416
